date,tweets,news,tic
2016-01-07,0,0.10902708,TCS.BO
2016-01-07,0.238284556,0.046371783,TECHM.BO
2016-01-07,0,0.001695667,TITAN.BO
2016-01-07,0.557410055,0,ULTRACEMCO.BO
2016-01-08,0,0.12892275,ASIANPAINT.BO
2016-01-08,0.03453238,0.043560678,AXISBANK.BO
2016-01-08,0.039939483,0.063853696,BAJAJ-AUTO.BO
2016-01-08,0.227714559,0.056833011,BAJFINANCE.BO
2016-01-08,0,0.041555397,BAJAJFINSV.BO
2016-01-08,0,0.061624438,BHARTIARTL.BO
2016-01-08,0,-0.092375477,DRREDDY.BO
2016-01-08,0.053737026,0.031678151,HCLTECH.BO
2016-01-08,-0.033592547,-0.046063805,HDFC.BO
2016-01-08,-0.10726602,-0.020399058,HDFCBANK.BO
2016-01-08,0,0,HINDUNILVR.BO
2016-01-08,0.107054033,-0.058292823,ICICIBANK.BO
2016-01-08,0,0.044392807,INDUSINDBK.BO
2016-01-08,0.005259987,-0.032361957,INFY.BO
2016-01-08,0.039313609,-0.000216655,ITC.BO
2016-01-08,0.04172954,0.136511958,KOTAKBANK.BO
2016-01-08,0.112334569,0.00621264,LT.BO
2016-01-08,0.080041909,-0.065425111,M&M.BO
2016-01-08,0.108531782,-0.029769408,MARUTI.BO
2016-01-08,0.2186912,-0.061833206,NESTLEIND.BO
2016-01-08,-0.076419011,0,NTPC.BO
2016-01-08,-0.015896002,0,ONGC.BO
2016-01-08,0.111240022,-0.00116745,POWERGRID.BO
2016-01-08,0.014979947,-0.032632836,RELIANCE.BO
2016-01-08,-0.10220705,0.072383125,SBIN.BO
2016-01-08,0.125910525,-0.029171062,SUNPHARMA.BO
2016-01-08,0,0.044392807,TCS.BO
2016-01-08,0.172298365,0.031081083,TECHM.BO
2016-01-08,0.038202845,0.07863249,TITAN.BO
2016-01-08,0,0,ULTRACEMCO.BO
2016-01-09,0,-0.20045774,ASIANPAINT.BO
2016-01-09,0.028833361,0.105150195,AXISBANK.BO
2016-01-09,0,0.058029573,BAJAJ-AUTO.BO
2016-01-09,0,0.119907268,BAJFINANCE.BO
2016-01-09,0,0.056363916,BAJAJFINSV.BO
2016-01-09,0,-0.045176289,BHARTIARTL.BO
2016-01-09,0,0,DRREDDY.BO
2016-01-09,0.152687406,0.246521011,HCLTECH.BO
2016-01-09,0.007883298,0.006273763,HDFC.BO
2016-01-09,-0.003960242,0.068679709,HDFCBANK.BO
2016-01-09,0.11803961,0,HINDUNILVR.BO
2016-01-09,0.401891268,-0.030297526,ICICIBANK.BO
2016-01-09,0,0.124731615,INDUSINDBK.BO
2016-01-09,0.180092702,0.065959628,INFY.BO
2016-01-09,-0.054948361,0.050379946,ITC.BO
2016-01-09,0.249454036,0.064479685,KOTAKBANK.BO
2016-01-09,0,0.183411441,LT.BO
2016-01-09,0.10542322,0.105780312,M&M.BO
2016-01-09,0.125979774,0.098816322,MARUTI.BO
2016-01-09,0.185019715,0.082882601,NESTLEIND.BO
2016-01-09,0,0.040053462,NTPC.BO
2016-01-09,-0.04941982,0.067949694,ONGC.BO
2016-01-09,0.253213429,0,POWERGRID.BO
2016-01-09,0,0.015508103,RELIANCE.BO
2016-01-09,0.624287768,0.084347494,SBIN.BO
2016-01-09,0,0.204685102,SUNPHARMA.BO
2016-01-09,0,0,TCS.BO
2016-01-09,1.298690848,0.104602029,TECHM.BO
2016-01-09,0,0.124307202,TITAN.BO
2016-01-09,0,0,ULTRACEMCO.BO
2016-01-10,0,-0.275047793,ASIANPAINT.BO
2016-01-10,-0.191182106,0.008019907,AXISBANK.BO
2016-01-10,0,-0.029267037,BAJAJ-AUTO.BO
2016-01-10,0,-0.131670142,BAJFINANCE.BO
2016-01-10,0,0,BAJAJFINSV.BO
2016-01-10,0,0.083488278,BHARTIARTL.BO
2016-01-10,0,0,DRREDDY.BO
2016-01-10,0.222181701,0.607646507,HCLTECH.BO
2016-01-10,0.111641997,0.011009841,HDFC.BO
2016-01-10,0.13024817,0.049014702,HDFCBANK.BO
2016-01-10,-0.190454877,0,HINDUNILVR.BO
2016-01-10,0.218534744,0.079202308,ICICIBANK.BO
2016-01-10,0,0,INDUSINDBK.BO
2016-01-10,0.174489102,0.095591948,INFY.BO
2016-01-10,0.069846235,-0.050599871,ITC.BO
2016-01-10,0,0.128981429,KOTAKBANK.BO
2016-01-10,0,0,LT.BO
2016-01-10,0.115070028,0.0798469,M&M.BO
2016-01-10,0.192386275,0.074035508,MARUTI.BO
2016-01-10,0.274734353,-0.283680429,NESTLEIND.BO
2016-01-10,0.191226392,0.120793601,NTPC.BO
2016-01-10,-0.194021197,0,ONGC.BO
2016-01-10,0,0,POWERGRID.BO
2016-01-10,0,-0.028331045,RELIANCE.BO
2016-01-10,0,0.026380881,SBIN.BO
2016-01-10,0,-0.064940524,SUNPHARMA.BO
2016-01-10,0,0,TCS.BO
2016-01-10,0,0.095569751,TECHM.BO
2016-01-10,0,-0.021839132,TITAN.BO
2016-01-10,0,0,ULTRACEMCO.BO
2016-01-11,0,0.11999508,ASIANPAINT.BO
2016-01-11,0.080460508,-0.078037813,AXISBANK.BO
2016-01-11,0,0.031322911,BAJAJ-AUTO.BO
2016-01-11,0.197976948,0.041763812,BAJFINANCE.BO
